['(hi omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]['(hi omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
['(hi omar omar omar rasmy)', {'entities': [(0, 3, 'PROGRAMING LANGUAGE'), (0, 3, 'PROGRAMING LANGUAGE')]}]
